"Co","Complexes","Uniclass2"
"Co_20","Administrative, Commercial And Protective Service Complexes","Co"
"Co_20_10","Legislative Complexes","Co_20"
"Co_20_10_10","International Legislative Complexes","Co_20_10"
"Co_20_10_30","National Legislative Complexes","Co_20_10"
"Co_20_10_50","Regional Legislative Complexes","Co_20_10"
"Co_20_10_70","Local Legislative Complexes","Co_20_10"
"Co_20_20","Secular Administrative Complexes","Co_20"
"Co_20_20_10","International Official Administrative Complexes","Co_20_20"
"Co_20_20_30","National Official Administrative Complexes","Co_20_20"
"Co_20_20_50","Regional Official Administrative Complexes","Co_20_20"
"Co_20_20_70","Local Official Administrative Complexes","Co_20_20"
"Co_20_30","Secular Representative Complexes","Co_20"
"Co_20_30_10","International Official Representative Complexes","Co_20_30"
"Co_20_30_30","National Official Representative Complexes","Co_20_30"
"Co_20_30_50","Regional Official Representative Complexes","Co_20_30"
"Co_20_30_70","Local Official Representative Complexes","Co_20_30"
"Co_20_35","Religious Representative Complexes","Co_20"
"Co_20_35_10","International Religious Representative Complexes","Co_20_35"
"Co_20_35_30","National Religious Representative Complexes","Co_20_35"
"Co_20_35_50","Regional Religious Representative Complexes","Co_20_35"
"Co_20_35_70","Local Religious Representative Complexes","Co_20_35"
"Co_20_40","Financial Complexes","Co_20"
"Co_20_40_10","International Financial Complexes","Co_20_40"
"Co_20_40_30","National Financial Complexes","Co_20_40"
"Co_20_40_50","Regional Financial Complexes","Co_20_40"
"Co_20_40_70","Local Financial Complexes","Co_20_40"
"Co_20_50","Commercial Administrative Complexes","Co_20"
"Co_20_50_10","Multiple Office Complexes","Co_20_50"
"Co_20_50_40","Large Single Office Complexes","Co_20_50"
"Co_20_50_70","Small Single Office Complexes","Co_20_50"
"Co_20_60","Commercial Wholesale And Retail Complexes","Co_20"
"Co_20_60_10","Multiple Wholesale Complexes","Co_20_60"
"Co_20_60_20","Large Single Wholesale Complexes","Co_20_60"
"Co_20_60_30","Small Single Wholesale Complexes","Co_20_60"
"Co_20_60_50","Auction Complexes","Co_20_60"
"Co_20_60_70","Multiple Retail Complexes","Co_20_60"
"Co_20_60_80","Large Single Retail Complexes","Co_20_60"
"Co_20_60_90","Small Single Retail Complexes","Co_20_60"
"Co_20_65","Postal Communications Complexes","Co_20"
"Co_20_65_10","Postal Communications Complexes","Co_20_65"
"Co_20_70","Military Complexes","Co_20"
"Co_20_70_10","International Military Complexes","Co_20_70"
"Co_20_70_30","National Military Complexes","Co_20_70"
"Co_20_70_50","Regional Military Complexes","Co_20_70"
"Co_20_70_70","Local Military Complexes","Co_20_70"
"Co_20_70_90","Temporary Military Complexes","Co_20_70"
"Co_20_80","Law Enforcement And Judicial Complexes","Co_20"
"Co_20_80_10","International Law Enforcement Complexes","Co_20_80"
"Co_20_80_20","International Judicial Complexes","Co_20_80"
"Co_20_80_30","National Law Enforcement Complexes","Co_20_80"
"Co_20_80_40","National Judicial Complexes","Co_20_80"
"Co_20_80_50","Regional Law Enforcement Complexes","Co_20_80"
"Co_20_80_60","Regional Judicial Complexes","Co_20_80"
"Co_20_80_70","Local Law Enforcement Complexes","Co_20_80"
"Co_20_80_80","Local Judicial Complexes","Co_20_80"
"Co_20_85","Detention Complexes","Co_20"
"Co_20_85_10","International Detention Complexes","Co_20_85"
"Co_20_85_30","National Detention Complexes","Co_20_85"
"Co_20_85_50","Regional Detention Complexes","Co_20_85"
"Co_20_85_70","Local Detention Complexes","Co_20_85"
"Co_20_90","Fire And Rescue Complexes","Co_20"
"Co_20_90_10","International Fire And Rescue Complexes","Co_20_90"
"Co_20_90_30","National Fire And Rescue Complexes","Co_20_90"
"Co_20_90_50","Regional Fire And Rescue Complexes","Co_20_90"
"Co_20_90_70","Local Fire And Rescue Complexes","Co_20_90"
"Co_20_90_90","Temporary Fire And Rescue Complexes","Co_20_90"
"Co_25","Cultural, Educational, Scientific And Information Complexes","Co"
"Co_25_05","Cultural Complexes","Co_25"
"Co_25_10","Educational Complexes","Co_25"
"Co_25_10_10","Infant Educational Complexes","Co_25_10"
"Co_25_10_20","Primary Educational Complexes","Co_25_10"
"Co_25_10_30","Secondary Educational Complexes","Co_25_10"
"Co_25_10_40","Pre-Tertiary Educational Complexes","Co_25_10"
"Co_25_10_50","Tertiary Educational Complexes","Co_25_10"
"Co_25_10_60","Adult Educational Complexes","Co_25_10"
"Co_25_30","Scientific Complexes","Co_25"
"Co_25_30_26","Ecosystem Complex","Co_25_30"
"Co_25_30_40","Laboratory Complexes","Co_25_30"
"Co_25_30_60","Observatory Complexes","Co_25_30"
"Co_25_50","Exhibition Complexes","Co_25"
"Co_25_50_10","Multipurpose Exhibition Complexes","Co_25_50"
"Co_25_50_20","Art Exhibition Complexes","Co_25_50"
"Co_25_50_30","Collection Exhibition Complexes","Co_25_50"
"Co_25_50_40","Fauna Exhibition Complexes","Co_25_50"
"Co_25_50_50","Flora Exhibition Complexes","Co_25_50"
"Co_25_50_90","Temporary Exhibition Complexes","Co_25_50"
"Co_25_70","Information Complexes","Co_25"
"Co_25_70_10","Archive Complexes","Co_25_70"
"Co_25_70_20","Conference Complexes","Co_25_70"
"Co_25_70_40","Library Complexes","Co_25_70"
"Co_25_90","Worship Complexes","Co_25"
"Co_25_90_10","Multiple Worship Complexes","Co_25_90"
"Co_25_90_40","Large Single Worship Complexes","Co_25_90"
"Co_25_90_70","Small Single Worship Complexes","Co_25_90"
"Co_30","Industrial Complexes","Co"
"Co_30_10","Mineral Extraction Complexes","Co_30"
"Co_30_10_20","Surface Mining Complexes","Co_30_10"
"Co_30_10_30","Underground Mining Complexes","Co_30_10"
"Co_30_10_50","Offshore Oil And Gas Extraction Complexes","Co_30_10"
"Co_30_10_60","Onshore Oil And Gas Extraction Complexes","Co_30_10"
"Co_30_10_80","Mineral Storage Complexes","Co_30_10"
"Co_30_10_90","Oil And Gas Storage Complexes","Co_30_10"
"Co_30_20","Agricultural Complexes","Co_30"
"Co_30_20_10","Forestry Complexes","Co_30_20"
"Co_30_20_20","Extensive Crop Growing Complexes","Co_30_20"
"Co_30_20_30","Intensive Crop Growing Complexes","Co_30_20"
"Co_30_20_40","Extensive Horticultural Complexes","Co_30_20"
"Co_30_20_50","Intensive Horticultural Complexes","Co_30_20"
"Co_30_20_60","Extensive Livestock Complexes","Co_30_20"
"Co_30_20_70","Intensive Livestock Complexes","Co_30_20"
"Co_30_20_80","Fishing Complexes","Co_30_20"
"Co_30_20_90","Agricultural Storage Complexes","Co_30_20"
"Co_30_30","Mineral Processing Complexes","Co_30"
"Co_30_30_20","Ore Processing Complexes","Co_30_30"
"Co_30_30_50","Oil And Gas Processing Complexes","Co_30_30"
"Co_30_40","Agricultural Processing Complexes","Co_30"
"Co_30_40_10","Timber Processing Complexes","Co_30_40"
"Co_30_40_20","Crop Processing Complexes","Co_30_40"
"Co_30_40_40","Horticultural Processing Complexes","Co_30_40"
"Co_30_40_60","Livestock Processing Complexes","Co_30_40"
"Co_30_40_80","Fish Processing Complexes","Co_30_40"
"Co_30_50","Manufacturing Complexes","Co_30"
"Co_30_50_10","Multiple Manufacturing Complexes","Co_30_50"
"Co_30_50_40","Large Single Manufacturing Complexes","Co_30_50"
"Co_30_50_70","Small Single Manufacturing Complexes","Co_30_50"
"Co_30_60","Cleaning And Maintenance Complexes","Co_30"
"Co_30_60_40","Laundry Complexes","Co_30_60"
"Co_30_90","Warehousing And Distribution Complexes","Co_30"
"Co_30_90_10","Goods Warehousing Complexes","Co_30_90"
"Co_30_90_50","Goods Distribution Complexes","Co_30_90"
"Co_30_95","Storage Complexes","Co_30"
"Co_30_95_40","Long-Term Storage Complexes","Co_30_95"
"Co_30_95_70","Short-Term Storage Complexes","Co_30_95"
"Co_35","Medical, Health And Welfare Complexes","Co"
"Co_35_10","Medical Complexes","Co_35"
"Co_35_10_10","Multiple Medical Complexes","Co_35_10"
"Co_35_10_40","Large Single Medical Complexes","Co_35_10"
"Co_35_10_70","Small Single Medical Complexes","Co_35_10"
"Co_35_10_90","Temporary Medical Complexes","Co_35_10"
"Co_35_30","Health Complexes","Co_35"
"Co_35_30_10","Multiple Health Complexes","Co_35_30"
"Co_35_30_40","Large Single Health Complexes","Co_35_30"
"Co_35_30_70","Small Single Health Complexes","Co_35_30"
"Co_35_50","Welfare Complexes","Co_35"
"Co_35_50_10","Visitor Welfare Complexes","Co_35_50"
"Co_35_50_30","Day Welfare Complexes","Co_35_50"
"Co_35_50_50","Short-Term Residential Welfare Complexes","Co_35_50"
"Co_35_50_60","Long-Term Residential Welfare Complexes","Co_35_50"
"Co_35_70","Funerary Complexes","Co_35"
"Co_35_70_10","Funeral Complexes","Co_35_70"
"Co_35_70_30","Body Storage Complexes","Co_35_70"
"Co_35_70_50","Body Destruction Complexes","Co_35_70"
"Co_35_70_70","Burial Complexes","Co_35_70"
"Co_35_70_90","Temporary Funerary Complexes","Co_35_70"
"Co_35_80","Sanitary Complexes","Co_35"
"Co_35_80_10","Bathing Complexes","Co_35_80"
"Co_35_90","Animal Medical, Health, Welfare, Funerary And Sanitary Complexes","Co_35"
"Co_35_90_10","Animal Medical Complexes","Co_35_90"
"Co_35_90_30","Animal Health Complexes","Co_35_90"
"Co_35_90_50","Short-Term Residential Animal Welfare Complexes","Co_35_90"
"Co_35_90_60","Long-Term Residential Animal Welfare Complexes","Co_35_90"
"Co_35_90_70","Animal Funerary Complexes","Co_35_90"
"Co_40","Recreational Complexes","Co"
"Co_40_05","Amusement Complexes","Co_40"
"Co_40_05_10","Multiple Amusement Complexes","Co_40_05"
"Co_40_05_40","Large Single Amusement Complexes","Co_40_05"
"Co_40_05_70","Small Single Amusement Complexes","Co_40_05"
"Co_40_05_90","Temporary Amusement Complexes","Co_40_05"
"Co_40_20","Dining Complexes","Co_40"
"Co_40_20_10","Multiple Dining Complexes","Co_40_20"
"Co_40_20_40","Large Single Dining Complexes","Co_40_20"
"Co_40_20_70","Small Single Dining Complexes","Co_40_20"
"Co_40_20_90","Temporary Dining Complexes","Co_40_20"
"Co_40_35","Historic Recreational Complexes","Co_40"
"Co_40_35_40","Large Historic Recreational Complexes","Co_40_35"
"Co_40_35_70","Small Historic Recreational Complexes","Co_40_35"
"Co_40_60","Performing Arts Complexes","Co_40"
"Co_40_60_10","Multiple Performing Arts Complexes","Co_40_60"
"Co_40_60_40","Large Single Performing Arts Complexes","Co_40_60"
"Co_40_60_70","Small Single Performing Arts Complexes","Co_40_60"
"Co_40_60_90","Temporary Performing Arts Complexes","Co_40_60"
"Co_40_75","Social Recreation Complexes","Co_40"
"Co_40_75_10","Multiple Social Recreation Complexes","Co_40_75"
"Co_40_75_40","Large Single Social Recreation Complexes","Co_40_75"
"Co_40_75_70","Small Single Social Recreation Complexes","Co_40_75"
"Co_40_80","Sports Complexes","Co_40"
"Co_40_80_10","Multiple Sports Complexes","Co_40_80"
"Co_40_80_40","Large Single Sports Complexes","Co_40_80"
"Co_40_80_70","Small Single Sports Complexes","Co_40_80"
"Co_40_80_90","Temporary Sports Complexes","Co_40_80"
"Co_40_85","Swimming Complexes","Co_40"
"Co_40_85_10","Multiple Swimming Complexes","Co_40_85"
"Co_40_85_40","Large Single Swimming Complexes","Co_40_85"
"Co_40_85_70","Small Single Swimming Complexes","Co_40_85"
"Co_45","Residential Complexes","Co"
"Co_45_10","Long-Term Residential Complexes","Co_45"
"Co_45_10_10","Multiple Long-Term Residential Complexes","Co_45_10"
"Co_45_10_40","Large Single Long-Term Residential Complexes","Co_45_10"
"Co_45_10_70","Small Single Long-Term Residential Complexes","Co_45_10"
"Co_45_10_90","Religious Long-Term Residential Complexes","Co_45_10"
"Co_45_50","Short-Term Residential Complexes","Co_45"
"Co_45_50_10","Multiple Commercial Short-Term Residential Complexes","Co_45_50"
"Co_45_50_20","Large Single Commercial Short-Term Residential Complexes","Co_45_50"
"Co_45_50_30","Small Single Commercial Short-Term Residential Complexes","Co_45_50"
"Co_45_50_40","Large Single Institutional Short-Term Residential Complexes","Co_45_50"
"Co_45_50_50","Small Single Institutional Short-Term Residential Complexes","Co_45_50"
"Co_45_50_70","Educational Short-Term Residential Complexes","Co_45_50"
"Co_45_50_80","Religious Short-Term Residential Complexes","Co_45_50"
"Co_45_50_90","Temporary Residential Complexes","Co_45_50"
"Co_50","Disposal Complexes And Networks","Co"
"Co_50_20","Wet Waste Collection And Distribution Complexes And Networks","Co_50"
"Co_50_20_10","Wet Waste Collection Complexes","Co_50_20"
"Co_50_20_20","Wet Waste Collection Networks","Co_50_20"
"Co_50_20_50","Wet Waste Distribution Complexes","Co_50_20"
"Co_50_20_60","Wet Waste Distribution Networks","Co_50_20"
"Co_50_40","Dry Waste Collection And Distribution Complexes And Networks","Co_50"
"Co_50_40_10","Dry Waste Collection Complexes","Co_50_40"
"Co_50_40_20","Dry Waste Collection Networks","Co_50_40"
"Co_50_40_50","Dry Waste Distribution Complexes","Co_50_40"
"Co_50_40_60","Dry Waste Distribution Networks","Co_50_40"
"Co_50_60","Wet Waste Storage, Treatment And Disposal Complexes And Networks","Co_50"
"Co_50_60_10","Wet Waste Storage Complexes","Co_50_60"
"Co_50_60_20","Wet Waste Storage Networks","Co_50_60"
"Co_50_60_40","Wet Waste Treatment Complexes","Co_50_60"
"Co_50_60_50","Wet Waste Treatment Networks","Co_50_60"
"Co_50_60_70","Wet Waste Disposal Complexes","Co_50_60"
"Co_50_60_80","Wet Waste Disposal Networks","Co_50_60"
"Co_50_80","Dry Waste Storage, Treatment And Disposal Complexes And Networks","Co_50"
"Co_50_80_10","Dry Waste Storage Complexes","Co_50_80"
"Co_50_80_20","Dry Waste Storage Networks","Co_50_80"
"Co_50_80_40","Dry Waste Treatment Complexes","Co_50_80"
"Co_50_80_50","Dry Waste Treatment Networks","Co_50_80"
"Co_50_80_70","Dry Waste Disposal Complexes","Co_50_80"
"Co_50_80_80","Dry Waste Disposal Networks","Co_50_80"
"Co_55","Piped Supply Complexes And Networks","Co"
"Co_55_20","Water Extraction And Treatment Complexes And Networks","Co_55"
"Co_55_20_10","Water Extraction Complexes","Co_55_20"
"Co_55_20_20","Water Extraction Networks","Co_55_20"
"Co_55_20_50","Water Treatment Complexes","Co_55_20"
"Co_55_20_60","Water Treatment Networks","Co_55_20"
"Co_55_40","Fuel And Gas Extraction And Treatment Complexes And Networks","Co_55"
"Co_55_40_10","Fuel Extraction Complexes","Co_55_40"
"Co_55_40_20","Fuel Extraction Networks","Co_55_40"
"Co_55_40_30","Gas Extraction Complexes","Co_55_40"
"Co_55_40_40","Gas Extraction Networks","Co_55_40"
"Co_55_40_50","Fuel Treatment Complexes","Co_55_40"
"Co_55_40_60","Fuel Treatment Networks","Co_55_40"
"Co_55_40_70","Gas Treatment Complexes","Co_55_40"
"Co_55_40_80","Gas Treatment Networks","Co_55_40"
"Co_55_60","Water Storage Complexes And Networks","Co_55"
"Co_55_60_10","Water Storage Complexes","Co_55_60"
"Co_55_60_20","Water Storage Networks","Co_55_60"
"Co_55_70","Fuel And Gas Storage Complexes And Networks","Co_55"
"Co_55_70_10","Fuel Storage Complexes","Co_55_70"
"Co_55_70_20","Fuel Storage Networks","Co_55_70"
"Co_55_70_50","Gas Storage Complexes","Co_55_70"
"Co_55_70_60","Gas Storage Networks","Co_55_70"
"Co_55_80","Water Distribution Complexes And Networks","Co_55"
"Co_55_80_10","Water Distribution Complexes","Co_55_80"
"Co_55_80_20","Water Distribution Networks","Co_55_80"
"Co_55_90","Fuel And Gas Distribution Complexes And Networks","Co_55"
"Co_55_90_10","Fuel Distribution Complexes","Co_55_90"
"Co_55_90_20","Fuel Distribution Networks","Co_55_90"
"Co_55_90_50","Gas Distribution Complexes","Co_55_90"
"Co_55_90_60","Gas Distribution Networks","Co_55_90"
"Co_60","Heating, Cooling And Refrigeration Complexes","Co"
"Co_60_10","Heating Complexes And Networks","Co_60"
"Co_60_10_10","Heating Complexes","Co_60_10"
"Co_60_10_20","Heating Networks","Co_60_10"
"Co_60_40","Cooling Complexes And Networks","Co_60"
"Co_60_40_10","Cooling Complexes","Co_60_40"
"Co_60_40_20","Cooling Networks","Co_60_40"
"Co_60_70","Refrigeration Complexes And Networks","Co_60"
"Co_60_70_10","Refrigeration Complexes","Co_60_70"
"Co_60_70_20","Refrigeration Networks","Co_60_70"
"Co_65","Ventilation And Air Conditioning Complexes And Networks","Co"
"Co_70","Electrical Complexes And Networks","Co"
"Co_70_10","Electrical Power Generation Complexes And Networks","Co_70"
"Co_70_10_10","Electrical Power Generation Complexes","Co_70_10"
"Co_70_10_20","Electrical Power Generation Networks","Co_70_10"
"Co_70_40","Non-Electrical Power Generation Complexes And Networks","Co_70"
"Co_70_40_10","Non-Electrical Power Generation Complexes","Co_70_40"
"Co_70_40_40","Non-Electrical Power Generation Networks","Co_70_40"
"Co_70_70","Electrical Power Transmission And Distribution Complexes And Networks","Co_70"
"Co_70_70_10","Electrical Power Transmission Complexes","Co_70_70"
"Co_70_70_40","Electrical Power Transmission Networks","Co_70_70"
"Co_70_70_50","Electrical Power Distribution Complexes","Co_70_70"
"Co_70_70_60","Electrical Power Distribution Networks","Co_70_70"
"Co_75","Communications, Security, Safety And Protection Complexes And Networks","Co"
"Co_75_10","Broadcast Communications Complexes And Networks","Co_75"
"Co_75_10_10","Broadcast Communications Complexes","Co_75_10"
"Co_75_10_20","Broadcast Communications Networks","Co_75_10"
"Co_75_30","Peer-To-Peer Communications Complexes And Networks","Co_75"
"Co_75_30_10","Peer-To-Peer Communications Complexes","Co_75_30"
"Co_75_30_20","Peer-To-Peer Communications Networks","Co_75_30"
"Co_75_70","Electronic Security Complexes And Networks","Co_75"
"Co_75_70_10","Electronic Security Complexes","Co_75_70"
"Co_75_70_20","Electronic Security Networks","Co_75_70"
"Co_75_80","Electronic Safety Complexes And Networks","Co_75"
"Co_75_80_10","Electronic Safety Complexes","Co_75_80"
"Co_75_80_20","Electronic Safety Networks","Co_75_80"
"Co_75_90","Electronic Protection Complexes And Networks","Co_75"
"Co_75_90_10","Electronic Protection Complexes","Co_75_90"
"Co_75_90_20","Electronic Protection Networks","Co_75_90"
"Co_80","Rail Complexes And Networks","Co"
"Co_80_10","Heavy Rail Complexes And Networks","Co_80"
"Co_80_10_10","Heavy Rail Complexes","Co_80_10"
"Co_80_10_20","Heavy Rail Networks","Co_80_10"
"Co_80_50","Light Rail Complexes And Networks","Co_80"
"Co_80_50_10","Light Rail Complexes","Co_80_50"
"Co_80_50_20","Light Rail Networks","Co_80_50"
"Co_80_80","Rail Loading And Embarkation Complexes","Co_80"
"Co_80_80_10","Rail Loading Complexes","Co_80_80"
"Co_80_80_50","Rail Embarkation Complexes","Co_80_80"
"Co_80_90","Rail Storage And Repair Complexes","Co_80"
"Co_80_90_10","Rail Storage Complexes","Co_80_90"
"Co_80_90_50","Rail Repair Complexes","Co_80_90"
"Co_81","Road Complexes And Networks","Co"
"Co_81_10","Major Road Complexes And Networks","Co_81"
"Co_81_10_10","Major Road Complexes","Co_81_10"
"Co_81_10_20","Major Road Networks","Co_81_10"
"Co_81_50","Minor Road Complexes And Networks","Co_81"
"Co_81_50_10","Minor Road Complexes","Co_81_50"
"Co_81_50_20","Minor Road Networks","Co_81_50"
"Co_81_70","Path Complexes And Networks","Co_81"
"Co_81_70_10","Path Complexes","Co_81_70"
"Co_81_70_20","Path Networks","Co_81_70"
"Co_81_80","Road Loading And Embarkation Complexes","Co_81"
"Co_81_80_10","Road Loading Complexes","Co_81_80"
"Co_81_80_50","Road Embarkation Complexes","Co_81_80"
"Co_81_90","Road Storage And Repair Complexes","Co_81"
"Co_81_90_10","Road Storage Complexes","Co_81_90"
"Co_81_90_50","Road Repair Complexes","Co_81_90"
"Co_82","Marine And Waterway Complexes And Networks","Co"
"Co_82_10","Marine Complexes And Networks","Co_82"
"Co_82_10_10","Marine Complexes","Co_82_10"
"Co_82_10_20","Marine Networks","Co_82_10"
"Co_82_50","Waterway Complexes And Networks","Co_82"
"Co_82_50_10","Waterway Complexes","Co_82_50"
"Co_82_50_20","Waterway Networks","Co_82_50"
"Co_82_80","Marine And Waterway Loading And Embarkation Complexes","Co_82"
"Co_82_80_10","Marine Loading Complexes","Co_82_80"
"Co_82_80_20","Waterway Loading Complexes","Co_82_80"
"Co_82_80_50","Marine Embarkation Complexes","Co_82_80"
"Co_82_80_60","Waterway Embarkation Complexes","Co_82_80"
"Co_82_90","Marine And Waterway Storage And Repair Complexes","Co_82"
"Co_82_90_10","Marine Storage Complexes","Co_82_90"
"Co_82_90_20","Waterway Storage Complexes","Co_82_90"
"Co_82_90_50","Marine Repair Complexes","Co_82_90"
"Co_82_90_60","Waterway Repair Complexes","Co_82_90"
"Co_82_95","Marine And Waterway Protection Complexes","Co_82"
"Co_82_95_10","Marine Protection Complexes","Co_82_95"
"Co_82_95_50","Waterway Protection Complexes","Co_82_95"
"Co_83","Cable Transport Complexes And Networks","Co"
"Co_83_10","Cable Transport Complexes And Networks","Co_83"
"Co_83_10_10","Cable Transport Complexes","Co_83_10"
"Co_83_10_20","Cable Transport Networks","Co_83_10"
"Co_83_80","Cable Transport Loading And Embarkation Complexes","Co_83"
"Co_83_80_10","Cable Transport Loading Complexes","Co_83_80"
"Co_83_80_50","Cable Transport Embarkation Complexes","Co_83_80"
"Co_83_90","Cable Transport Storage And Repair Complexes","Co_83"
"Co_83_90_10","Cable Transport Storage Complexes","Co_83_90"
"Co_83_90_50","Cable Transport Repair Complexes","Co_83_90"
"Co_84","Aerospace Complexes And Networks","Co"
"Co_84_10","Major Aerospace Complexes And Networks","Co_84"
"Co_84_10_10","Major Aerospace Complexes","Co_84_10"
"Co_84_10_20","Major Aerospace Networks","Co_84_10"
"Co_84_50","Minor Aerospace Complexes And Networks","Co_84"
"Co_84_50_10","Minor Aerospace Complexes","Co_84_50"
"Co_84_50_20","Minor Aerospace Networks","Co_84_50"
"Co_84_80","Aerospace Loading And Embarkation Complexes","Co_84"
"Co_84_80_10","Aerospace Loading Complexes","Co_84_80"
"Co_84_80_50","Aerospace Embarkation Complexes","Co_84_80"
"Co_84_90","Aerospace Storage And Repair Complexes","Co_84"
"Co_84_90_10","Aerospace Storage Complexes","Co_84_90"
"Co_84_90_50","Aerospace Repair Complexes","Co_84_90"
"Co_85","Process Engineering Complexes","Co"
"Co_95","Temporary Complexes And Networks","Co"
