"Sp","Spaces","Uniclass2"
"Sp_20","Administrative, Commercial And Protective Service Spaces","Sp"
"Sp_20_10","Legislative Spaces","Sp_20"
"Sp_20_10_15","Council Chambers","Sp_20_10"
"Sp_20_10_33","Galleries To Council Chambers","Sp_20_10"
"Sp_20_10_34","Galleries To Parliamentary Chambers","Sp_20_10"
"Sp_20_10_60","Parliamentary Chambers","Sp_20_10"
"Sp_20_20","Institutional Administrative Spaces","Sp_20"
"Sp_20_20_07","Benefit Offices","Sp_20_20"
"Sp_20_20_40","Individual Institutional Offices","Sp_20_20"
"Sp_20_20_42","Institutional Cashiers","Sp_20_20"
"Sp_20_20_43","Institutional Word Processing Pools","Sp_20_20"
"Sp_20_20_44","Job Centre Spaces","Sp_20_20"
"Sp_20_20_59","Open-Plan Institutional Offices","Sp_20_20"
"Sp_20_20_65","Press Rooms","Sp_20_20"
"Sp_20_20_77","Shared Institutional Offices","Sp_20_20"
"Sp_20_20_96","War Rooms","Sp_20_20"
"Sp_20_30","Secular Representative Spaces","Sp_20"
"Sp_20_30_16","Consulate Reception Rooms","Sp_20_30"
"Sp_20_30_27","Embassy Reception Rooms","Sp_20_30"
"Sp_20_30_37","High Commission Reception Rooms","Sp_20_30"
"Sp_20_30_47","Legation Reception Rooms","Sp_20_30"
"Sp_20_30_60","Passport Offices","Sp_20_30"
"Sp_20_30_63","Pedestrian Security Check Points","Sp_20_30"
"Sp_20_30_95","Vehicular Security Check Points","Sp_20_30"
"Sp_20_35","Religious Representative Spaces","Sp_20"
"Sp_20_35_71","Religious Representative Reception Rooms","Sp_20_35"
"Sp_20_40","Financial Spaces","Sp_20"
"Sp_20_40_06","Banking Halls","Sp_20_40"
"Sp_20_40_07","Bank Teller Spaces","Sp_20_40"
"Sp_20_40_19","Currency Exchange Booths","Sp_20_40"
"Sp_20_40_22","Dealers Desks","Sp_20_40"
"Sp_20_40_75","Safe Deposit Rooms","Sp_20_40"
"Sp_20_40_90","Trading Floors","Sp_20_40"
"Sp_20_40_94","Vaults","Sp_20_40"
"Sp_20_50","Administrative Spaces","Sp_20"
"Sp_20_50_11","Caretaker Offices","Sp_20_50"
"Sp_20_50_28","Executive Offices","Sp_20_50"
"Sp_20_50_30","Filing Rooms","Sp_20_50"
"Sp_20_50_42","Individual Offices","Sp_20_50"
"Sp_20_50_59","Open-Plan Offices","Sp_20_50"
"Sp_20_50_64","Photocopying Rooms","Sp_20_50"
"Sp_20_50_77","Shared Commercial Offices","Sp_20_50"
"Sp_20_50_80","Stationery Stores","Sp_20_50"
"Sp_20_50_96","Word Processing Pools","Sp_20_50"
"Sp_20_50_97","Workstations","Sp_20_50"
"Sp_20_55","Design Spaces","Sp_20"
"Sp_20_55_04","Art And Design Studios","Sp_20_55"
"Sp_20_55_23","Drawing Offices","Sp_20_55"
"Sp_20_60","Motor Vehicle Sale, Maintenance And Fuel Spaces","Sp_20"
"Sp_20_60_11","Car Washes","Sp_20_60"
"Sp_20_60_50","Motor Cycle Maintenance Shops","Sp_20_60"
"Sp_20_60_51","Motor Cycle Parts And Accessories Shops","Sp_20_60"
"Sp_20_60_52","Motor Cycle Showrooms","Sp_20_60"
"Sp_20_60_53","Motor Vehicle Maintenance Shops","Sp_20_60"
"Sp_20_60_54","Motor Vehicle Parts And Accessories Shops","Sp_20_60"
"Sp_20_60_55","Motor Vehicle Showrooms","Sp_20_60"
"Sp_20_60_62","Petrol Station Air And Water Points","Sp_20_60"
"Sp_20_60_64","Petrol Station Forecourts","Sp_20_60"
"Sp_20_60_66","Petrol Station Tanks Areas","Sp_20_60"
"Sp_20_62","Commercial Wholesale Spaces","Sp_20"
"Sp_20_62_03","Alcoholic Beverages Market Spaces","Sp_20_62"
"Sp_20_62_10","Builders’ Merchant Shop Floors","Sp_20_62"
"Sp_20_62_14","Clothing Showrooms","Sp_20_62"
"Sp_20_62_21","Dairy Market Spaces","Sp_20_62"
"Sp_20_62_29","Factory Machinery Showrooms","Sp_20_62"
"Sp_20_62_30","Fish Market Spaces","Sp_20_62"
"Sp_20_62_31","Flower Market Spaces","Sp_20_62"
"Sp_20_62_32","Fruit And Vegetable Market Spaces","Sp_20_62"
"Sp_20_62_34","Grains Market Spaces","Sp_20_62"
"Sp_20_62_36","Hardware, Plumbing And Heating Showrooms","Sp_20_62"
"Sp_20_62_37","Heavy Machinery Showrooms","Sp_20_62"
"Sp_20_62_38","Household Goods Showrooms","Sp_20_62"
"Sp_20_62_47","Livestock Auction Rooms","Sp_20_62"
"Sp_20_62_48","Livestock Pens","Sp_20_62"
"Sp_20_62_52","Meat Market Spaces","Sp_20_62"
"Sp_20_62_58","Office Equipment Showrooms","Sp_20_62"
"Sp_20_62_65","Plumbers’ Merchant Shop Floors","Sp_20_62"
"Sp_20_62_78","Skins And Hides Market Spaces","Sp_20_62"
"Sp_20_62_82","Spice Market Spaces","Sp_20_62"
"Sp_20_62_89","Toys And Games Showrooms","Sp_20_62"
"Sp_20_62_96","Waste And Scrap Yards","Sp_20_62"
"Sp_20_64","Commercial Retail Spaces","Sp_20"
"Sp_20_64_02","Antiques Shop Floors","Sp_20_64"
"Sp_20_64_04","Art Auction Rooms","Sp_20_64"
"Sp_20_64_06","Beauty Salons","Sp_20_64"
"Sp_20_64_07","Bicycle Parts And Accessories Shop Floors","Sp_20_64"
"Sp_20_64_08","Booking Halls","Sp_20_64"
"Sp_20_64_12","Checkout Points","Sp_20_64"
"Sp_20_64_14","Coal Yards","Sp_20_64"
"Sp_20_64_16","Collection Rooms","Sp_20_64"
"Sp_20_64_18","Commercial Art Galleries","Sp_20_64"
"Sp_20_64_20","Commercial Cashiers","Sp_20_64"
"Sp_20_64_22","Department Store Shop Floors","Sp_20_64"
"Sp_20_64_27","Equipment Service Stores","Sp_20_64"
"Sp_20_64_29","Factory Retail Rooms","Sp_20_64"
"Sp_20_64_30","Fitting Rooms","Sp_20_64"
"Sp_20_64_31","Florist Shop Floors","Sp_20_64"
"Sp_20_64_32","Food And Drink Kiosks","Sp_20_64"
"Sp_20_64_33","Food Shop Floors","Sp_20_64"
"Sp_20_64_34","Furniture Auction Rooms","Sp_20_64"
"Sp_20_64_36","Haircutting Salons","Sp_20_64"
"Sp_20_64_42","Indoor Market Stalls","Sp_20_64"
"Sp_20_64_45","Key Cutting Booths","Sp_20_64"
"Sp_20_64_50","Mail Order Sorting Rooms","Sp_20_64"
"Sp_20_64_56","Newsagent Kiosks","Sp_20_64"
"Sp_20_64_59","Outdoor Market Stalls","Sp_20_64"
"Sp_20_64_77","Shoe Repair Booths","Sp_20_64"
"Sp_20_64_78","Shopping Arcades (circulation Spaces)","Sp_20_64"
"Sp_20_64_79","Show Rooms","Sp_20_64"
"Sp_20_64_85","Supermarket Shop Floors","Sp_20_64"
"Sp_20_64_88","Temporary Food And Drink Kiosks","Sp_20_64"
"Sp_20_64_93","Utilities Service Spaces","Sp_20_64"
"Sp_20_65","Postal Communications Spaces","Sp_20"
"Sp_20_65_48","Lookout Galleries","Sp_20_65"
"Sp_20_65_50","Mail Rooms","Sp_20_65"
"Sp_20_65_60","Parcel Offices","Sp_20_65"
"Sp_20_65_62","Post Office Box Rooms","Sp_20_65"
"Sp_20_65_64","Post Office Counter Spaces","Sp_20_65"
"Sp_20_65_66","Post Office Queuing Areas","Sp_20_65"
"Sp_20_65_68","Postal Sorting Offices","Sp_20_65"
"Sp_20_70","Military Spaces","Sp_20"
"Sp_20_70_02","Air Raid Shelters","Sp_20_70"
"Sp_20_70_04","Arms Depots","Sp_20_70"
"Sp_20_70_09","Bomb Shelters","Sp_20_70"
"Sp_20_70_27","Emergency Bunkers","Sp_20_70"
"Sp_20_70_29","Fallout Shelters","Sp_20_70"
"Sp_20_70_31","Firing Ranges","Sp_20_70"
"Sp_20_70_52","Military Camps","Sp_20_70"
"Sp_20_70_54","Military Parade Grounds","Sp_20_70"
"Sp_20_70_88","Test Ranges","Sp_20_70"
"Sp_20_70_90","Training Buildings","Sp_20_70"
"Sp_20_70_91","Training Grounds","Sp_20_70"
"Sp_20_80","Law Enforcement And Judicial Spaces","Sp_20"
"Sp_20_80_15","Court Rooms","Sp_20_80"
"Sp_20_80_28","Evidence Rooms","Sp_20_80"
"Sp_20_80_37","Holding Cells","Sp_20_80"
"Sp_20_80_41","Judges’ Benches","Sp_20_80"
"Sp_20_80_42","Judges’ Chambers","Sp_20_80"
"Sp_20_80_44","Jury Boxes","Sp_20_80"
"Sp_20_80_45","Jury Rooms","Sp_20_80"
"Sp_20_80_68","Public Galleries","Sp_20_80"
"Sp_20_80_77","Secure Interview Rooms","Sp_20_80"
"Sp_20_80_97","Witness Stands","Sp_20_80"
"Sp_20_85","Detention Spaces","Sp_20"
"Sp_20_85_15","Communal Inmate Dayrooms","Sp_20_85"
"Sp_20_85_22","Detention Cells","Sp_20_85"
"Sp_20_85_28","Exercise Yards","Sp_20_85"
"Sp_20_85_35","Guard Stations","Sp_20_85"
"Sp_20_85_38","Holding Cells","Sp_20_85"
"Sp_20_85_59","Open Secure Visiting Rooms","Sp_20_85"
"Sp_20_85_66","Private Secure Visiting Rooms","Sp_20_85"
"Sp_20_85_95","Vehicle Impound Yards","Sp_20_85"
"Sp_20_87","Security Spaces","Sp_20"
"Sp_20_87_06","Bag Search Counter","Sp_20_87"
"Sp_20_87_32","Frisking Area","Sp_20_87"
"Sp_20_87_63","Pedestrian Security Check","Sp_20_87"
"Sp_20_87_76","Security Screen Area","Sp_20_87"
"Sp_20_87_86","Strip Search Room","Sp_20_87"
"Sp_20_87_95","Vehicular Security Check","Sp_20_87"
"Sp_20_90","Fire And Rescue Spaces","Sp_20"
"Sp_20_90_27","Emergency Communications Rooms","Sp_20_90"
"Sp_20_90_28","Emergency Vehicle Standing Areas","Sp_20_90"
"Sp_20_90_30","Fire Refuge Spaces","Sp_20_90"
"Sp_20_90_31","Fire Training Tower Spaces","Sp_20_90"
"Sp_20_90_71","Rescue Gear Stores","Sp_20_90"
"Sp_20_95","Reception Spaces","Sp_20"
"Sp_20_95_72","Reception Areas","Sp_20_95"
"Sp_20_95_73","Reception Counter Spaces","Sp_20_95"
"Sp_20_95_96","Waiting Rooms","Sp_20_95"
"Sp_25","Cultural, Educational, Scientific And Information Spaces","Sp"
"Sp_25_05","Cultural Spaces","Sp_25"
"Sp_25_05_20","Cultural Parade Routes","Sp_25_05"
"Sp_25_05_66","Procession And March Routes","Sp_25_05"
"Sp_25_05_72","Remembrance Sites","Sp_25_05"
"Sp_25_10","Educational Spaces","Sp_25"
"Sp_25_10_01","Adult Education Classrooms","Sp_25_10"
"Sp_25_10_04","Art Studios","Sp_25_10"
"Sp_25_10_05","Assembly Halls","Sp_25_10"
"Sp_25_10_08","Breakout Spaces","Sp_25_10"
"Sp_25_10_15","Computer Laboratories","Sp_25_10"
"Sp_25_10_17","Craft Studios","Sp_25_10"
"Sp_25_10_21","Dance Studios","Sp_25_10"
"Sp_25_10_23","Dissection Theatres","Sp_25_10"
"Sp_25_10_25","Drama Studios","Sp_25_10"
"Sp_25_10_37","Home Economics Classrooms","Sp_25_10"
"Sp_25_10_42","Infant Classrooms","Sp_25_10"
"Sp_25_10_46","Language Laboratories","Sp_25_10"
"Sp_25_10_47","Lecture Theatres","Sp_25_10"
"Sp_25_10_51","Metalwork Classrooms","Sp_25_10"
"Sp_25_10_55","Music Rooms","Sp_25_10"
"Sp_25_10_62","Plastics Work Classrooms","Sp_25_10"
"Sp_25_10_64","Pre-Tertiary Classrooms","Sp_25_10"
"Sp_25_10_66","Primary Classrooms","Sp_25_10"
"Sp_25_10_71","Religious Education Classrooms","Sp_25_10"
"Sp_25_10_77","Secondary Classrooms","Sp_25_10"
"Sp_25_10_78","Seminar Rooms","Sp_25_10"
"Sp_25_10_80","Staff Common Rooms","Sp_25_10"
"Sp_25_10_82","Student Common Rooms","Sp_25_10"
"Sp_25_10_84","Study Rooms","Sp_25_10"
"Sp_25_10_90","Tertiary Classrooms","Sp_25_10"
"Sp_25_10_97","Woodwork Classrooms","Sp_25_10"
"Sp_25_30","Scientific Laboratory Spaces","Sp_25"
"Sp_25_30_02","Analytical Chemistry Laboratories","Sp_25_30"
"Sp_25_30_03","Animal Laboratories","Sp_25_30"
"Sp_25_30_04","Astronomical Laboratories","Sp_25_30"
"Sp_25_30_05","Astronomical Observatory Domes","Sp_25_30"
"Sp_25_30_07","Biological Laboratories","Sp_25_30"
"Sp_25_30_08","Biology Teaching Laboratories","Sp_25_30"
"Sp_25_30_10","Bioscience Laboratories","Sp_25_30"
"Sp_25_30_13","Chemistry Teaching Laboratories","Sp_25_30"
"Sp_25_30_15","Clinical Biochemistry Laboratories","Sp_25_30"
"Sp_25_30_16","Clinical Microbiology Laboratories","Sp_25_30"
"Sp_25_30_17","Clinical Pathology Laboratories","Sp_25_30"
"Sp_25_30_19","Containment Laboratories","Sp_25_30"
"Sp_25_30_23","Dry Laboratories","Sp_25_30"
"Sp_25_30_26","Earth Sciences Laboratories","Sp_25_30"
"Sp_25_30_31","Forensics Laboratories","Sp_25_30"
"Sp_25_30_33","Geology Laboratories","Sp_25_30"
"Sp_25_30_42","Inorganic Chemistry Laboratories","Sp_25_30"
"Sp_25_30_58","Optical Physics Laboratories","Sp_25_30"
"Sp_25_30_59","Organic Chemistry Laboratories","Sp_25_30"
"Sp_25_30_63","Physical Chemistry Laboratories","Sp_25_30"
"Sp_25_30_65","Physical Sciences Laboratories","Sp_25_30"
"Sp_25_30_66","Physics Teaching Laboratories","Sp_25_30"
"Sp_25_30_68","Psychology Laboratories","Sp_25_30"
"Sp_25_30_80","Solar Observatory Rooms","Sp_25_30"
"Sp_25_30_90","Toxicology Laboratories","Sp_25_30"
"Sp_25_30_96","Wet Laboratories","Sp_25_30"
"Sp_25_35","Scientific Ancillary Spaces","Sp_25"
"Sp_25_35_02","Anechoic Chambers","Sp_25_35"
"Sp_25_35_03","Animal Holding Rooms","Sp_25_35"
"Sp_25_35_05","Autoclave Rooms","Sp_25_35"
"Sp_25_35_06","Bioscience Equipment Rooms","Sp_25_35"
"Sp_25_35_08","Blood Banks","Sp_25_35"
"Sp_25_35_14","Chemicals Stores","Sp_25_35"
"Sp_25_35_16","Clean Rooms","Sp_25_35"
"Sp_25_35_18","Computer Rooms","Sp_25_35"
"Sp_25_35_19","Containment Rooms","Sp_25_35"
"Sp_25_35_21","Dark Rooms","Sp_25_35"
"Sp_25_35_28","Experiment Control Rooms","Sp_25_35"
"Sp_25_35_29","Flammable Chemical Stores","Sp_25_35"
"Sp_25_35_30","Flow Cytometry Rooms","Sp_25_35"
"Sp_25_35_36","Hyperbaric Chambers","Sp_25_35"
"Sp_25_35_42","Instrument Rooms","Sp_25_35"
"Sp_25_35_46","Laboratory Cold Rooms","Sp_25_35"
"Sp_25_35_47","Laboratory Warm Rooms","Sp_25_35"
"Sp_25_35_70","Radiation Shielded Rooms","Sp_25_35"
"Sp_25_35_76","Seismograph Rooms","Sp_25_35"
"Sp_25_35_88","Tissue Culture Rooms","Sp_25_35"
"Sp_25_50","Exhibition Spaces","Sp_25"
"Sp_25_50_04","Art Galleries","Sp_25_50"
"Sp_25_50_15","Collection Exhibition Spaces","Sp_25_50"
"Sp_25_50_16","Conservation Rooms","Sp_25_50"
"Sp_25_50_21","Diorama Rooms","Sp_25_50"
"Sp_25_50_22","Display Aquaria","Sp_25_50"
"Sp_25_50_23","Display Aviaries","Sp_25_50"
"Sp_25_50_24","Display Cages","Sp_25_50"
"Sp_25_50_25","Display Enclosures","Sp_25_50"
"Sp_25_50_26","Display Pools","Sp_25_50"
"Sp_25_50_29","Fauna Exhibition Spaces","Sp_25_50"
"Sp_25_50_31","Flora Exhibition Spaces","Sp_25_50"
"Sp_25_50_55","Multipurpose Exhibition Spaces","Sp_25_50"
"Sp_25_50_63","Planetaria","Sp_25_50"
"Sp_25_50_66","Product Display Spaces","Sp_25_50"
"Sp_25_50_67","Product Display Stands","Sp_25_50"
"Sp_25_50_73","Sculpture Galleries","Sp_25_50"
"Sp_25_50_74","Sculpture Gardens","Sp_25_50"
"Sp_25_50_87","Temporary Exhibition Booths","Sp_25_50"
"Sp_25_50_88","Temporary Exhibition Spaces","Sp_25_50"
"Sp_25_50_90","Touching Pools","Sp_25_50"
"Sp_25_50_93","Underwater Viewing Spaces","Sp_25_50"
"Sp_25_50_94","Viewing Platforms","Sp_25_50"
"Sp_25_50_95","Viewing Walkways","Sp_25_50"
"Sp_25_70","Information Spaces","Sp_25"
"Sp_25_70_04","Archives","Sp_25_70"
"Sp_25_70_05","Audio-Visual Study Rooms","Sp_25_70"
"Sp_25_70_08","Borrowing And Return Counters","Sp_25_70"
"Sp_25_70_11","Catalogue Areas","Sp_25_70"
"Sp_25_70_15","Conference Auditoria","Sp_25_70"
"Sp_25_70_16","Conference Rooms","Sp_25_70"
"Sp_25_70_18","Conservation Rooms","Sp_25_70"
"Sp_25_70_23","Drawing Study Rooms","Sp_25_70"
"Sp_25_70_27","Enquiry Areas","Sp_25_70"
"Sp_25_70_30","Film Storage Vaults","Sp_25_70"
"Sp_25_70_46","Lending Areas","Sp_25_70"
"Sp_25_70_47","Library Stacks","Sp_25_70"
"Sp_25_70_50","Map Rooms","Sp_25_70"
"Sp_25_70_56","Newspaper Reading Rooms","Sp_25_70"
"Sp_25_70_62","Photocopying Rooms","Sp_25_70"
"Sp_25_70_63","Photograph Study Rooms","Sp_25_70"
"Sp_25_70_71","Reading Rooms","Sp_25_70"
"Sp_25_70_72","Reference Areas","Sp_25_70"
"Sp_25_70_82","Study Areas","Sp_25_70"
"Sp_25_90","Worship Spaces","Sp_25"
"Sp_25_90_01","Aisles","Sp_25_90"
"Sp_25_90_03","Altars","Sp_25_90"
"Sp_25_90_05","Arks","Sp_25_90"
"Sp_25_90_06","Baptisteries","Sp_25_90"
"Sp_25_90_08","Bimahs","Sp_25_90"
"Sp_25_90_09","Blessing Spaces","Sp_25_90"
"Sp_25_90_12","Ceremonial Spaces","Sp_25_90"
"Sp_25_90_14","Chancels","Sp_25_90"
"Sp_25_90_15","Chapels","Sp_25_90"
"Sp_25_90_16","Choir Lofts","Sp_25_90"
"Sp_25_90_17","Choirs","Sp_25_90"
"Sp_25_90_52","Meditation Rooms","Sp_25_90"
"Sp_25_90_53","Men’s Prayer Rooms","Sp_25_90"
"Sp_25_90_54","Mihrabs","Sp_25_90"
"Sp_25_90_55","Multidenominational Chapels","Sp_25_90"
"Sp_25_90_56","Naves","Sp_25_90"
"Sp_25_90_66","Procession Spaces","Sp_25_90"
"Sp_25_90_68","Pulpits","Sp_25_90"
"Sp_25_90_72","Reflection Spaces","Sp_25_90"
"Sp_25_90_75","Sacramental Spaces","Sp_25_90"
"Sp_25_90_77","Side Chapels","Sp_25_90"
"Sp_25_90_87","Tabernacles","Sp_25_90"
"Sp_25_90_90","Transepts","Sp_25_90"
"Sp_25_90_97","Women’s Prayer Rooms","Sp_25_90"
"Sp_25_95","Worship Ancillary Spaces","Sp_25"
"Sp_25_95_07","Belfries","Sp_25_95"
"Sp_25_95_08","Bell Ringing Spaces","Sp_25_95"
"Sp_25_95_12","Chapter Houses","Sp_25_95"
"Sp_25_95_13","Circumcision Rooms","Sp_25_95"
"Sp_25_95_14","Cloisters","Sp_25_95"
"Sp_25_95_15","Confessionals","Sp_25_95"
"Sp_25_95_18","Crypts","Sp_25_95"
"Sp_25_95_33","Galleries","Sp_25_95"
"Sp_25_95_50","Marriage Sanctuaries","Sp_25_95"
"Sp_25_95_75","Sanctuaries","Sp_25_95"
"Sp_25_95_90","Treasuries","Sp_25_95"
"Sp_25_95_94","Vestries","Sp_25_95"
"Sp_30","Industrial Spaces","Sp"
"Sp_30_10","Mineral Extraction Spaces","Sp_30"
"Sp_30_10_28","Explosives Store Rooms","Sp_30_10"
"Sp_30_10_52","Mineral Storage Spaces","Sp_30_10"
"Sp_30_10_57","Offshore Oil And Gas Drilling Areas","Sp_30_10"
"Sp_30_10_58","Oil And Gas Storage Spaces","Sp_30_10"
"Sp_30_10_59","Onshore Oil And Gas Drilling Areas","Sp_30_10"
"Sp_30_10_60","Opencast Mines","Sp_30_10"
"Sp_30_10_69","Quarries","Sp_30_10"
"Sp_30_10_85","Surface Mining Areas","Sp_30_10"
"Sp_30_10_91","Underground Mine Chambers","Sp_30_10"
"Sp_30_10_92","Underground Mine Hoist Control Rooms","Sp_30_10"
"Sp_30_10_93","Underground Mine Shafts","Sp_30_10"
"Sp_30_10_94","Underground Mine Tunnels","Sp_30_10"
"Sp_30_20","Agricultural Spaces","Sp_30"
"Sp_30_20_11","Cages","Sp_30_20"
"Sp_30_20_12","Cattle Byres","Sp_30_20"
"Sp_30_20_18","Crofts","Sp_30_20"
"Sp_30_20_24","Dungsteads","Sp_30_20"
"Sp_30_20_25","Farm Effluent Tanks","Sp_30_20"
"Sp_30_20_26","Farm Shops","Sp_30_20"
"Sp_30_20_27","Feed Stores","Sp_30_20"
"Sp_30_20_28","Fields","Sp_30_20"
"Sp_30_20_29","Fish Cultivation Aquaria","Sp_30_20"
"Sp_30_20_30","Fisheries","Sp_30_20"
"Sp_30_20_31","Forests","Sp_30_20"
"Sp_30_20_34","Glasshouse Spaces","Sp_30_20"
"Sp_30_20_35","Grain Hoppers","Sp_30_20"
"Sp_30_20_36","Grain Stores","Sp_30_20"
"Sp_30_20_39","Hothouse Spaces","Sp_30_20"
"Sp_30_20_47","Livestock Ranges","Sp_30_20"
"Sp_30_20_52","Milking Parlours","Sp_30_20"
"Sp_30_20_55","Mushroom Cultivation Spaces","Sp_30_20"
"Sp_30_20_60","Paddocks","Sp_30_20"
"Sp_30_20_62","Pens","Sp_30_20"
"Sp_30_20_64","Plant Nurseries","Sp_30_20"
"Sp_30_20_65","Plant Nursery Spaces","Sp_30_20"
"Sp_30_20_66","Poultry Batteries","Sp_30_20"
"Sp_30_20_77","Shearing Spaces","Sp_30_20"
